DATE / RAOB	ELEV	REPORT	MUCAPE	MUMR	500TEMP	300 T	7-5 LR	5-3 LR	0-3SH	0-6SH	0-9SH	SRH3	SHIP	MODELb
96042200.TOP	268	2.75	1574	10.9	-16.6	-42.6	7.3	7.2	14.6	45.6	54.3	145	1.3	2.3
96042200.OUN	362	2.75	2260	12.7	-10.9	-36.6	5.9	7.0	18.5	38.3	48.8	500	1.2	2.3
96031600.FFC	246	2.75	890	9.6	-19.2	-39.7	7.8	5.7	20.5	28.8	55.2	353	0.9	2.2
95081800.BIS	503	2.75	5585	18.4	-7.0	-34.2	7.7	7.3	10.6	10.6	17.3	142	1.0	3.3
95072400.AMA	1095	2.75	2225	13.3	-7.8	-30.1	8.5	6.0	13.1	21.6	25.1	124	1.0	2.9
95071500.GRB	210	2.75	5409	19.0	-8.5	-30.8	8.1	5.9	8.0	12.1	9.0	69	1.5	3.0
95071200.OKX	20	2.75	2900	13.9	-15.6	-43.2	6.9	7.6	8.1	12.7	13.6	48	1.3	2.4
95070300.DDC	791	2.75	2905	14.2	-9.6	-38.9	6.8	7.9	12.3	18.2	21.4	111	1.1	2.3
95070300.AMA	1095	2.75	3838	14.7	-11.5	-36.5	8.8	6.8	8.2	22.8	29.0	115	2.9	2.5
95062800.LBF	847	2.75	2880	12.4	-10.1	-37.2	7.7	7.3	13.9	22.0	19.7	208	1.5	2.5
95062100.OKX	20	2.75	3918	17.1	-9.8	-34.9	7.1	6.7	11.4	18.4	25.8	18	1.6	1.0
95060300.AMA	1095	2.75	3024	12.4	-9.6	-36.5	8.2	7.2	15.7	22.4	37.2	346	1.6	2.0
95052200.LBF	847	2.75	2027	10.4	-14.9	-42.1	7.4	7.4	18.7	28.3	33.3	221	1.6	2.1
95051400.UMN	438	2.75	5278	16.5	-10.3	-38.0	6.9	7.5	22.3	28.0	26.2	211	3.3	3.2
95042000.FTD	196	2.75	2621	14.6	-13.3	-38.5	7.7	6.8	25.8	39.5	59.2	498	2.3	2.4
95040900.TOP	268	2.75	2836	10.7	-17.5	-44.5	9.2	7.5	16.5	21.4	31.9	120	2.6	1.9
94070700.HON	392	2.75	3051	16.5	-8.8	-35.7	7.2	7.2	10.2	20.5	18.6	159	1.3	0.6
94070200.OAX	350	2.75	5257	18.5	-10.1	-33.0	8.0	6.2	15.5	26.5	25.4	416	3.6	3.2
94070100.STC	315	2.75	3701	14.3	-11.6	-39.6	7.3	7.6	19.0	27.2	25.1	399	2.7	2.7
94062600.JAN	106	2.75	2842	16.1	-9.5	-35.0	6.4	6.8	12.4	24.0	32.8	130	1.3	0.9
94062500.HON	392	2.75	1962	11.8	-10.8	-39.7	6.4	7.8	15.4	27.8	33.5	211	1.0	2.2
94061900.JAN	91	2.75	3177	16.8	-7.5	-32.7	5.9	6.7	3.8	11.5	12.4	42	0.5	0.6
94061800.AMA	1095	2.75	2676	11.9	-7.0	-33.1	8.2	6.9	10.7	11.0	11.3	171	0.5	1.6
94061200.TOP	268	2.75	2320	13.9	-9.5	-36.5	6.6	7.3	15.8	23.9	24.4	117	1.1	0.9
94061200.AMA	1095	2.75	4015	14.7	-8.0	-33.7	7.8	6.9	18.4	26.7	19.9	302	2.2	2.7
94061100.AMA	1095	2.75	2164	12.3	-8.3	-36.1	7.3	7.5	16.6	19.5	20.3	229	0.7	2.8
94060600.TOP	268	2.75	3953	16.5	-9.3	-35.1	8.1	6.9	15.4	16.1	27.7	394	1.5	2.5
94060500.HON	392	2.75	3871	14.2	-11.6	-38.7	8.5	7.4	12.0	21.4	19.2	202	2.6	2.4
94053000.SEP	399	2.75	5032	17.5	-10.6	-36.6	8.2	7.0	16.1	27.0	23.8	291	3.8	3.9
94052500.OUN	362	2.75	3912	15.0	-11.5	-38.1	7.4	7.2	13.2	22.0	36.2	122	2.4	3.0
94041100.UMN	438	2.75	2040	12.6	-16.5	-41.0	7.6	6.7	19.9	37.8	45.4	486	2.1	2.5
94012700.GGG	124	2.75	2167	13.2	-15.9	-42.4	6.8	7.3	17.5	31.0	32.3	306	2.0	0.7
93102000.DRT	313	2.75	3433	15.5	-8.9	-36.3	6.4	7.4	13.4	25.4	34.0	35	1.6	1.6
93101900.GGG	124	2.75	3105	15.7	-9.8	-36.9	6.9	7.3	10.3	23.5	33.9	105	1.6	0.7
93101300.CRP	14	2.75	4367	17.3	-8.6	-37.2	6.3	7.7	14.8	20.2	29.8	227	1.5	1.5
93090400.IAD	85	2.75	2779	15.6	-5.9	-32.6	5.7	7.1	12.4	15.2	15.6	149	0.5	0.6
93070700.DDC	790	2.75	5334	17.0	-6.0	-36.1	7.2	8.0	16.5	27.9	28.2	154	2.0	3.1
93070700.AMA	1094	2.75	5327	17.0	-4.7	-32.2	7.8	7.3	11.4	21.3	20.0	127	1.6	3.8
93070500.DDC	790	2.75	4186	17.1	-5.4	-31.1	6.7	6.8	16.6	30.6	34.9	146	1.3	1.2
93062400.LBF	849	2.75	3944	16.0	-8.6	-37.5	8.1	7.7	18.1	21.9	33.8	178	2.0	2.8
93062400.DEN	1611	2.75	3442	11.7	-9.6	-38.0	8.8	7.8	15.8	32.0	42.3	211	2.2	1.8
93061900.AMA	1094	2.75	2140	12.8	-7.8	-33.2	7.0	6.7	14.4	22.7	23.3	146	0.8	1.9
93051600.DDC	790	2.75	3614	12.8	-9.8	-40.4	6.6	8.3	12.6	19.4	23.7	161	1.4	2.5
93050600.AMA	1094	2.75	4478	13.2	-13.6	-38.2	8.6	6.7	16.6	34.6	38.4	340	4.5	2.0
93050100.AMA	1095	2.75	4085	11.6	-14.5	-42.9	8.1	7.8	15.3	25.7	15.8	234	3.4	1.9
93042900.MAF	873	2.75	2435	11.7	-10.9	-36.0	7.1	6.8	20.8	29.3	37.4	551	1.4	2.2
93042800.MAF	873	2.75	1494	10.4	-10.6	-38.7	6.9	7.6	12.9	19.6	25.8	150	0.6	1.8
93042500.UMN	438	2.75	2317	11.4	-14.6	-42.2	6.9	7.6	18.2	25.2	33.1	198	1.6	2.4
93042000.GGG	168	2.75	2342	12.4	-13.3	-42.9	8.0	8.1	17.5	26.7	28.4	156	2.0	2.7
93040200.WAL	13	2.75	1625	10.9	-18.5	-46.2	7.3	7.7	26.8	30.7	48.4	200	1.5	2.4
93033100.UMN	440	2.75	2598	11.1	-16.5	-43.6	6.4	7.5	19.7	29.7	28.9	117	2.0	2.1
93033100.1M1	204	2.75	2471	11.9	-15.1	-43.9	7.2	8.0	17.8	30.2	27.1	54	2.1	2.8
92101600.SEP	399	2.75	3654	14.6	-12.1	-37.5	7.7	6.9	12.6	16.4	22.7	227	1.8	2.9
92073000.LBF	847	2.75	3544	15.0	-10.3	-38.2	7.9	7.5	22.0	25.7	33.8	335	2.4	3.0
92062700.AMA	1095	2.75	3165	14.1	-10.0	-34.2	7.7	6.5	12.4	16.6	29.9	191	1.3	2.9
92061900.DDC	791	2.75	2598	12.8	-8.3	-34.7	7.9	7.1	15.7	25.1	40.5	114	1.3	2.7
92061900.BIS	504	2.75	1791	11.0	-14.4	-39.4	6.9	6.9	13.0	27.4	24.4	106	1.3	2.5
92061300.AMA	1095	2.75	2821	14.7	-8.8	-34.4	7.2	6.9	12.0	19.1	36.4	165	1.1	2.7
92061200.MAF	873	2.75	2387	13.8	-8.2	-32.3	7.4	6.4	13.3	26.7	34.6	178	1.3	2.0
92060500.AMA	1095	2.75	2870	13.4	-9.4	-37.0	7.5	7.4	12.2	17.5	25.9	249	1.1	2.6
92030600.1M1	172	2.75	2572	11.5	-21.1	-44.4	7.2	6.5	17.3	22.5	26.7	194	2.4	2.3
92021500.UMN	438	2.75	1724	10.2	-16.9	-44.0	6.4	7.5	24.2	33.2	28.2	289	1.3	2.2
91072200.HON	392	2.75	4474	19.3	-6.8	-31.8	7.2	6.7	11.1	17.3	24.1	198	1.2	-999.0
91070500.GGW	696	2.75	2308	11.4	-9.9	-38.5	7.0	7.7	6.7	17.5	23.9	144	0.8	2.2
91070500.BIS	504	2.75	2941	13.3	-9.3	-37.6	6.4	7.6	19.3	21.4	26.6	206	1.2	2.4
91062000.HON	392	2.75	2691	13.9	-10.5	-37.0	7.0	7.2	16.1	22.1	20.0	282	1.4	1.2
91061900.LBF	847	2.75	3600	13.0	-12.0	-40.0	8.6	7.6	13.5	15.2	20.9	219	1.7	2.6
91061500.GRB	210	2.75	3430	17.6	-8.7	-32.3	6.7	6.3	21.7	13.9	17.0	161	0.9	0.6
91061500.BIS	504	2.75	2379	13.0	-11.9	-35.8	6.6	6.5	13.2	22.5	25.2	152	1.3	2.6
91060500.OVN	400	2.75	2813	14.6	-10.1	-31.5	6.5	5.7	8.4	17.1	19.6	177	1.0	3.1
91053000.RAP	966	2.75	2814	10.9	-15.7	-43.2	8.1	7.6	13.0	14.5	28.4	159	1.4	2.0
91053000.OVN	400	2.75	4446	16.8	-10.2	-36.3	6.8	7.0	14.3	18.2	19.0	31	1.8	2.7
91052500.AMA	1095	2.75	3416	13.7	-10.5	-37.1	7.0	7.2	17.0	17.4	13.8	124	1.4	2.5
91051800.UMN	438	2.75	3444	15.1	-11.0	-34.2	7.4	6.2	9.4	11.9	21.0	59	1.1	1.2
91051700.UMN	438	2.75	3299	15.9	-10.6	-35.6	7.6	6.7	14.4	16.1	11.8	174	1.4	1.9
91051200.RAP	966	2.75	4430	14.1	-11.0	-39.1	7.9	7.6	26.6	23.5	33.5	437	2.9	2.5
91051100.AMA	1095	2.75	5629	15.6	-10.7	-37.8	9.0	7.3	14.5	16.5	21.5	314	2.9	2.5
91042800.GGG	124	2.75	4554	18.9	-10.5	-37.7	7.2	7.3	15.4	29.5	19.6	140	3.0	2.2
91042700.OUN	357	2.75	4751	16.6	-11.5	-41.7	7.0	8.2	20.6	23.6	26.4	376	2.9	3.7
91042700.GGG	124	2.75	5164	18.9	-10.7	-38.1	8.2	7.5	12.4	18.9	27.6	209	2.8	2.7
91041300.OUN	357	2.75	4063	14.1	-13.7	-42.3	8.0	7.8	17.1	22.0	25.1	205	3.2	2.9
91040300.OUN	357	2.75	1560	10.1	-19.8	-43.3	7.3	6.6	15.1	22.6	41.7	275	1.3	1.5
91032700.DDC	791	2.75	3132	12.4	-14.2	-40.5	8.2	7.2	18.9	40.7	44.0	160	2.9	2.1
91032200.UMN	438	2.75	2632	11.5	-15.3	-44.0	7.0	7.9	18.8	33.0	35.3	371	2.1	2.5
90090600.STC	315	2.75	4899	19.5	-6.8	-33.9	6.2	7.2	14.7	21.0	17.1	294	1.4	1.0
90082800.SSM	221	2.75	5115	18.2	-8.5	-36.7	6.2	7.5	20.5	31.6	29.9	334	2.4	1.1
90081100.LBF	847	2.75	3971	14.8	-9.0	-36.8	7.5	7.5	14.3	25.6	21.5	282	2.2	2.9
90070700.BIS	504	2.75	3274	14.9	-7.5	-34.7	6.9	7.3	12.9	19.0	25.7	316	1.0	2.2
90070300.BIS	504	2.75	6982	21.3	-6.3	-31.9	8.2	6.8	14.9	23.0	29.6	172	2.7	4.6
90061900.LBF	847	2.75	7070	19.2	-6.1	-35.5	8.4	7.9	18.5	30.2	38.1	266	3.2	3.6
90060200.STC	315	2.75	2697	13.4	-13.3	-39.7	8.5	7.2	10.4	18.6	17.2	132	1.8	2.2
90060200.LBF	847	2.75	3719	13.6	-10.8	-39.9	7.9	7.9	16.4	15.6	29.4	89	1.6	2.4
90053100.GGG	124	2.75	4743	19.3	-5.7	-33.3	6.1	7.3	21.5	27.2	25.7	317	1.4	0.7
90052000.OUN	357	2.75	4565	15.3	-10.8	-39.0	7.1	7.6	12.1	13.7	14.7	94	1.6	3.1
90051900.LBF	847	2.75	3954	12.1	-13.9	-42.1	8.6	7.8	16.2	25.1	24.6	398	3.4	2.0
90051700.GGG	124	2.75	3234	17.5	-8.3	-36.2	7.2	7.4	17.6	24.7	35.1	304	1.5	0.6
90050100.AHN	246	2.75	4557	14.9	-12.6	-41.5	7.7	7.9	19.7	14.7	9.3	92	2.1	3.4
90042800.GGG	124	2.75	2263	12.9	-14.9	-41.0	6.6	7.1	12.8	14.1	25.3	84	1.0	2.8
90041700.OUN	357	2.75	3717	13.6	-15.0	-44.3	8.3	8.1	17.2	11.5	20.5	152	1.7	3.8
90031400.PIA	200	2.75	2115	12.4	-14.4	-41.2	6.9	7.4	15.3	18.1	24.1	206	1.1	2.6
90021600.JAN	91	2.75	2047	15.2	-10.9	-40.4	6.6	8.0	18.9	20.9	34.6	124	1.0	-999.0
89090400.LBF	847	2.75	4599	17.3	-8.6	-36.0	8.3	7.3	8.6	29.6	38.8	223	2.9	3.3
89082900.STC	315	2.75	1959	14.6	-10.0	-35.2	6.8	6.8	18.0	26.3	44.7	147	1.1	1.1
89082200.STC	315	2.75	3346	16.2	-11.1	-35.6	6.9	6.7	11.9	20.6	30.6	173	1.7	1.2
89082200.OMA	400	2.75	4223	17.9	-8.3	-30.9	7.0	6.0	15.0	22.2	45.4	138	1.8	0.9
89082200.HON	392	2.75	4160	15.6	-9.4	-38.2	6.9	7.8	14.8	22.9	28.9	107	2.0	3.3
89081600.AMA	1095	2.75	2669	12.8	-7.1	-34.8	6.9	7.4	10.5	17.0	24.9	158	0.7	2.5
89062600.RAP	966	2.75	2246	11.5	-13.8	-40.7	7.8	7.4	20.0	31.3	30.4	301	1.8	2.6
89061300.AMA	1095	2.75	3611	14.4	-10.8	-36.6	8.1	7.0	9.9	15.8	22.1	79	1.6	3.0
89060300.TOP	268	2.75	2623	13.7	-12.6	-38.3	7.0	7.0	12.4	19.5	39.7	118	1.5	2.0
89060300.MAF	873	2.75	2291	11.9	-8.4	-34.6	7.6	7.0	13.3	19.3	32.2	147	0.8	2.2
89060200.MAF	873	2.75	3193	14.1	-10.4	-34.9	7.9	6.6	8.5	24.5	27.4	104	2.1	2.8
58042200.FWH	180	2.75	3338	13.3	-16.1	-39.0	7.8	6.3	25.5	37.0	49.4	276	3.6	2.4
07021400.BMX	178	2.75	1032	9.9	-19.1	-44.7	7.0	7.1	19.5	20.7	36.3	245	0.7	2.4
06082600.DDC	790	2.75	3488	16.5	-5.5	-31.7	6.5	6.9	17.6	20.2	26.5	141	0.8	0.8
06081000.BIS	506	2.75	2589	13.0	-8.9	-35.7	7.5	7.2	8.8	19.1	18.8	147	1.0	2.6
06062200.DDC	790	2.75	2406	12.7	-8.7	-34.9	8.1	7.0	11.0	21.1	24.9	175	1.1	2.4
06050800.MAF	872	2.75	2440	11.9	-12.5	-36.9	8.0	6.6	22.1	33.3	51.2	327	1.9	2.3
06050718.CHS	15	2.75	2580	12.9	-12.5	-40.1	6.0	7.5	15.9	17.7	18.8	177	1.1	2.0
06050500.MAF	872	2.75	3709	11.5	-12.1	-42.7	8.1	8.4	21.7	27.6	34.4	372	2.7	1.7
06050300.DRT	313	2.75	3549	13.7	-12.1	-37.1	8.5	6.8	5.1	14.2	19.0	74	1.7	2.1
06042000.BMX	178	2.75	2242	13.1	-11.9	-37.1	7.1	6.8	11.3	21.7	27.0	122	1.3	2.1
06041400.DVN	229	2.75	1524	11.2	-15.7	-35.1	8.3	5.6	15.8	30.6	30.3	263	1.4	3.4
06031218.TOP	270	2.75	2814	12.6	-17.9	-44.3	8.5	7.3	33.9	44.8	54.9	723	3.5	2.7
05092300.ILX	178	2.75	1858	14.1	-8.1	-33.3	6.9	6.7	11.5	21.5	16.8	121	0.7	0.8
05051000.FWD	171	2.75	4841	15.5	-11.5	-42.1	6.7	8.3	9.5	18.0	25.9	152	2.2	2.9
05042300.JAN	101	2.75	2558	13.6	-14.7	-39.7	7.1	6.9	19.9	28.5	34.1	183	2.3	2.7
05042100.DDC	790	2.75	4722	13.2	-15.3	-43.5	8.6	7.7	15.2	16.1	14.9	174	3.1	2.1
05041800.AMA	1099	2.75	1767	9.4	-17.3	-43.3	8.7	7.2	15.5	19.6	22.9	211	1.4	1.9
05022200.FFC	244	2.75	1389	11.4	-16.3	-43.1	7.0	7.4	20.7	28.5	35.4	225	1.2	1.7
04070500.DDC	790	2.75	3819	14.3	-10.3	-37.7	8.3	7.4	14.4	18.6	30.5	161	2.0	2.5
04060300.FWD	171	2.75	4767	16.9	-11.1	-36.5	8.7	6.9	14.1	19.1	24.1	157	2.9	-999.0
04053000.TOP	270	2.75	3882	15.9	-12.9	-39.3	8.7	7.1	14.8	22.4	15.3	295	3.2	3.2
04051300.OUN	357	2.75	5740	16.8	-11.5	-40.5	8.2	7.9	12.4	15.2	20.9	131	2.7	3.6
04051223.LMN	317	2.75	4076	15.9	-10.5	-40.3	7.4	8.1	21.9	22.7	30.4	304	2.3	2.4
04051100.DNR	1625	2.75	3995	10.6	-12.9	-41.1	9.2	7.8	18.2	28.3	16.6	379	3.4	1.5
04050600.WAL	12	2.75	1861	9.3	-21.3	-47.5	7.2	7.4	21.3	20.2	28.3	239	1.5	1.4
04040500.CRP	13	2.75	2478	14.9	-12.1	-39.1	6.7	7.3	7.0	22.4	20.6	184	1.5	0.6
04032800.OUN	357	2.75	2904	12.6	-15.9	-44.3	7.8	7.8	16.4	23.3	31.1	315	2.5	2.8
04032718.DDC	790	2.75	4133	13.2	-17.3	-42.1	8.0	6.9	14.4	24.6	26.6	143	4.4	2.3
03100600.AMA	1099	2.75	2542	12.2	-10.3	-39.3	6.4	7.8	12.9	24.1	30.2	50	1.2	2.5
03091100.MAF	872	2.75	2808	13.3	-6.5	-32.5	6.8	6.9	7.4	10.3	9.0	80	0.4	1.4
03091000.DDC	790	2.75	3620	14.8	-7.7	-34.7	7.5	7.2	11.3	12.1	15.8	233	0.8	3.0
03061400.AMA	1099	2.75	3153	12.3	-13.3	-39.3	8.3	7.1	13.7	21.7	24.7	35	2.2	2.1
03060500.AMA	1099	2.75	2647	11.9	-11.9	-36.9	7.6	6.8	13.1	23.0	28.5	167	1.5	2.1
03051700.SHV	79	2.75	3995	16.3	-10.9	-37.3	7.4	7.2	19.6	23.2	13.9	242	2.4	2.7
03051600.AMA	1099	2.75	3706	14.1	-10.3	-37.5	8.9	7.4	34.9	42.9	37.7	632	3.0	-999.0
03051400.SHV	79	2.75	3920	16.7	-9.5	-38.5	7.2	7.8	19.3	27.2	37.0	389	2.3	0.8
03051000.OUN	357	2.75	5328	16.8	-11.1	-38.1	8.3	7.3	16.8	27.5	34.8	182	4.3	3.6
03050700.FWD	171	2.75	5303	17.8	-9.7	-37.7	7.1	7.5	8.4	30.4	36.2	126	3.2	3.5
03050618.SGF	387	2.75	5492	15.6	-14.7	-43.9	7.7	8.0	17.8	32.0	40.6	313	5.5	2.8
03050100.TOP	270	2.75	3922	13.0	-14.1	-43.5	7.8	8.1	13.9	17.2	19.6	117	2.3	2.7
03042900.SGF	387	2.75	3399	13.1	-16.7	-43.3	8.5	7.3	4.8	5.0	19.6	53	1.1	2.8
03042600.BMX	178	2.75	3921	14.2	-13.3	-41.1	6.2	7.6	26.6	35.8	33.5	89	2.8	2.7
03042500.LZK	78	2.75	3423	13.8	-15.7	-43.1	7.6	7.6	20.0	20.9	31.0	212	2.8	3.3
03040618.LZK	78	2.75	2556	13.1	-15.9	-41.3	7.6	7.0	28.4	35.1	38.9	600	2.6	3.1
03031300.SHV	79	2.75	2901	13.5	-15.3	-43.1	7.1	7.7	11.0	17.1	24.1	162	1.7	2.0
02081200.LBF	849	2.75	3735	13.3	-9.9	-37.1	8.7	7.3	10.5	13.1	11.8	222	1.3	2.1
02072700.TOP	270	2.75	6406	19.3	-5.3	-32.5	6.9	7.1	9.1	18.2	19.3	131	1.4	2.6
02072000.TOP	270	2.75	4986	17.5	-7.5	-32.9	7.3	6.8	8.5	10.0	12.7	197	0.9	2.7
02062500.ABR	396	2.75	4208	15.1	-7.1	-37.7	6.8	8.2	11.1	19.1	19.3	20	1.3	3.1
02062400.BIS	506	2.75	3559	16.0	-9.7	-34.1	6.8	6.6	25.2	28.0	24.8	298	2.1	2.4
02061300.AMA	1099	2.75	3027	13.7	-8.5	-31.9	8.4	6.3	18.7	29.6	33.0	65	1.9	2.5
02060500.AMA	1099	2.75	2947	13.2	-11.5	-38.3	7.6	7.3	17.9	32.1	45.0	309	2.2	2.7
02052400.AMA	1099	2.75	4729	13.8	-13.3	-39.9	8.3	7.2	18.5	28.8	21.8	258	4.5	2.3
02051800.DRT	313	2.75	5077	16.0	-10.5	-37.1	8.1	7.2	5.2	8.8	6.3	15	1.2	2.6
01112418.BMX	178	2.75	2902	15.1	-11.3	-39.7	6.1	7.7	22.2	26.9	31.9	328	1.7	0.8
01072500.GGW	700	2.75	1714	11.5	-11.3	-36.3	6.9	6.8	18.2	26.7	32.1	350	1.0	2.2
01071900.BIS	506	2.75	5738	17.8	-9.9	-36.1	8.6	7.1	14.1	21.8	28.8	183	3.4	2.9
01071900.ABR	396	2.75	5356	17.5	-10.5	-35.1	8.8	6.6	3.4	18.1	22.7	35	2.9	2.7
01071800.INL	361	2.75	4580	17.0	-12.9	-37.7	7.8	6.7	11.8	11.9	12.8	154	1.8	0.8
01070100.RAP	1029	2.75	3235	14.3	-10.7	-35.7	7.7	6.8	12.9	30.8	40.7	114	2.3	2.6
01061900.MPX	287	2.75	5114	15.6	-11.9	-39.3	9.2	7.5	19.0	33.1	31.9	154	4.9	3.4
01061700.TOP	270	2.75	4594	15.7	-13.7	-41.9	8.5	7.8	15.7	22.1	26.6	214	3.8	3.4
01061700.LMN	317	2.75	4093	14.1	-10.7	-37.9	8.0	7.3	9.3	19.4	26.9	195	2.2	3.5
01061400.OAX	350	2.75	4956	17.2	-11.3	-38.5	9.0	7.4	18.5	20.4	25.5	153	3.3	3.8
01061000.ABR	396	2.75	3453	13.8	-12.1	-39.9	7.8	7.5	16.6	24.6	32.3	158	2.6	3.6
01060800.DNR	1625	2.75	3440	13.9	-8.7	-36.7	7.2	7.6	7.4	25.3	21.9	-26	1.8	3.1
01060600.AMA	1099	2.75	4665	14.9	-8.9	-36.7	7.2	7.5	11.9	15.8	15.6	191	1.5	2.3
01052500.FFC	244	2.75	2338	11.7	-14.5	-43.1	6.4	7.9	19.6	18.1	21.4	240	1.1	2.5
01050620.LMN	317	2.75	4496	15.4	-16.1	-43.1	7.3	7.5	7.3	11.5	20.9	60	2.0	3.1
01042100.OAX	350	2.75	3283	12.4	-15.3	-43.1	7.7	7.7	23.5	28.1	32.7	282	3.1	2.4
01040400.LZK	78	2.75	4223	15.2	-15.1	-42.1	8.5	7.4	11.9	18.1	24.8	105	3.2	3.1
00121618.BMX	178	2.75	2219	13.2	-14.1	-42.7	6.7	7.9	25.0	32.9	45.8	266	1.8	0.9
00072700.OAX	350	2.75	5048	18.5	-9.7	-35.3	8.0	6.9	16.7	21.8	23.2	215	2.8	2.6
00072500.LBF	849	2.75	5901	17.1	-8.9	-38.1	8.5	7.8	22.2	24.5	29.4	162	3.5	2.9
00072100.LBF	849	2.75	3073	15.3	-11.3	-37.5	7.8	7.1	16.9	26.5	39.4	223	2.3	2.0
00071700.MHX	11	2.75	2929	15.1	-12.3	-36.1	7.2	6.4	7.9	18.2	29.9	81	1.5	2.3
00071000.LBF	849	2.75	5871	18.1	-5.5	-32.5	7.8	7.2	10.7	14.3	19.9	146	1.2	3.5
00071000.GGW	700	2.75	3180	15.6	-10.9	-35.1	7.0	6.5	23.2	18.4	13.5	248	1.5	2.6
00062000.LBF	849	2.75	4028	14.9	-8.5	-37.9	6.8	7.9	11.9	18.8	23.9	96	1.4	3.0
00061400.AMA	1099	2.75	5758	16.5	-4.9	-34.9	7.6	7.9	19.9	23.8	32.0	244	1.8	2.5
00061200.BIS	506	2.75	2000	11.3	-13.1	-39.9	7.5	7.4	10.2	22.0	28.0	306	1.2	2.5
00052700.OUN	357	2.75	5870	18.3	-10.1	-37.9	8.4	7.5	12.8	21.5	32.8	117	3.5	4.0
00051300.DTX	329	2.75	4524	16.9	-8.5	-37.3	7.7	7.7	20.2	24.1	18.5	328	2.3	2.4
00022500.AMA	1099	2.75	3614	10.3	-18.5	-46.1	8.5	7.7	13.1	26.8	48.5	107	4.0	1.7
98071100.DDC	790	2.50	4323	18.9	-4.3	-29.9	6.2	6.8	16.0	12.7	15.2	230	0.6	0.6
96072200.LBF	847	2.50	4756	18.4	-6.5	-34.7	7.2	7.5	19.0	20.0	29.4	94	1.4	2.1
96071900.GRB	210	2.50	4746	20.7	-7.5	-31.3	6.4	6.3	20.0	26.3	26.2	164	1.9	0.7
96062100.DEN	1611	2.50	5603	15.2	-8.1	-36.1	9.6	7.6	8.8	27.5	33.4	155	3.8	2.2
96061200.LBF	847	2.50	2310	11.7	-9.9	-37.5	7.5	7.4	12.7	16.7	22.2	122	0.8	2.4
96060300.AMA	1095	2.50	2356	11.0	-10.5	-39.7	6.9	7.9	18.0	27.6	31.6	256	1.2	2.0
96060100.DDC	791	2.50	2888	13.3	-10.9	-38.5	8.3	7.4	13.9	13.3	19.3	111	1.1	2.5
96051800.MPX	287	2.50	4406	16.3	-8.9	-38.5	8.2	8.0	20.7	13.0	23.4	259	1.4	3.4
96042200.FTD	196	2.50	1872	12.0	-12.6	-38.7	8.2	7.1	18.3	27.1	34.0	298	1.5	-999.0
96030700.TLH	26	2.50	2615	15.4	-10.4	-39.0	6.0	7.7	20.7	20.9	23.7	320	1.1	0.6
95081212.MPX	287	2.50	3361	19.1	-6.3	-31.3	7.2	6.7	23.0	20.6	36.8	164	1.0	-999.0
95061600.TFX	1130	2.50	3142	13.0	-12.0	-37.7	8.4	7.0	23.8	27.7	35.6	277	2.7	2.3
95060700.DEN	1611	2.50	3137	12.3	-10.8	-35.7	9.2	6.8	20.7	37.2	35.9	284	2.4	2.0
95052912.MAF	873	2.50	1617	13.0	-11.3	-37.2	7.5	7.0	13.7	27.6	22.0	284	1.1	1.9
95051900.GSO	277	2.50	1758	13.4	-11.8	-35.2	7.9	6.3	23.6	25.3	27.1	83	1.3	-999.0
95051600.MAF	873	2.50	3261	13.6	-7.8	-34.0	8.4	7.1	10.3	21.7	28.8	134	1.5	1.8
95050900.TOP	268	2.50	1495	10.0	-19.3	-39.2	6.9	5.6	21.2	19.3	22.8	126	1.0	1.2
95050800.LCH	5	2.50	3259	17.9	-9.9	-35.6	7.1	6.9	10.2	16.7	31.1	119	1.2	0.6
95050800.FTD	196	2.50	2700	16.5	-10.4	-38.9	7.7	7.7	24.5	30.8	30.8	407	1.9	0.8
94062600.TOP	268	2.50	4265	16.4	-8.6	-35.2	8.4	7.1	21.6	25.2	45.9	418	2.5	2.9
94032800.AHN	246	2.50	2627	14.4	-10.5	-35.7	6.2	6.8	30.4	34.5	24.7	518	1.5	0.7
93070300.TOP	270	2.50	4019	18.5	-7.2	-31.5	7.1	6.5	15.2	15.8	16.4	202	1.0	0.7
93070200.HON	392	2.50	2619	14.6	-11.3	-39.6	7.0	7.7	12.6	28.3	40.3	143	1.8	0.8
93061400.TOP	270	2.50	4195	16.5	-8.5	-35.1	7.7	7.1	10.7	12.5	17.8	65	1.1	2.8
93033000.DRT	314	2.50	2680	12.7	-13.4	-39.4	8.2	7.1	26.0	39.6	44.0	411	2.4	2.8
92070200.DEN	1611	2.50	2313	11.7	-11.2	-35.2	8.0	6.5	20.0	27.6	29.9	362	1.6	2.5
92041600.AMA	1095	2.50	3362	11.1	-13.4	-40.9	7.6	7.5	12.0	16.0	17.8	127	1.5	1.7
92030400.SEP	399	2.50	2676	12.7	-15.3	-44.8	7.7	8.1	9.2	20.1	27.2	133	1.9	2.3
91080200.CAR	191	2.50	1891	12.3	-13.7	-41.6	6.3	7.6	11.9	19.6	33.3	223	0.9	1.8
91071800.STC	315	2.50	4956	18.2	-8.7	-32.0	7.3	6.3	21.9	18.7	20.1	104	1.9	2.5
91053100.DEN	1611	2.50	3551	12.0	-12.1	-39.1	9.5	7.4	10.7	27.3	45.8	149	3.1	1.9
